MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
2.898,43.0,5.020661,1.03719,1537.0,3.17562,37.77,-122.2,1.214
1.9479,50.0,4.825203,1.060976,907.0,3.686992,37.76,-122.18,0.895
1.4097,37.0,4.017991,1.103448,1925.0,2.886057,37.76,-122.2,0.846
2.1538,44.0,4.368852,1.036885,825.0,3.381148,37.73,-122.19,0.797
2.5139,43.0,4.56129,0.948387,417.0,2.690323,37.74,-122.19,0.834
3.0298,46.0,4.56,1.004444,749.0,3.328889,37.74,-122.17,1.076
1.5625,38.0,5.09751,1.294606,1516.0,3.145228,37.75,-122.16,0.917
2.4598,36.0,5.358382,1.105973,1438.0,2.770713,37.76,-122.16,1.555
3.225,44.0,5.854985,1.205438,946.0,2.858006,37.75,-122.15,1.358
2.537,24.0,4.637306,1.176166,1137.0,2.945596,37.75,-122.16,1.079
1.7375,37.0,3.312771,1.006494,2556.0,2.766234,37.88,-122.34,3.5
5.1675,52.0,6.398693,1.143791,374.0,2.444444,37.89,-122.29,2.706
7.8864,52.0,6.690972,0.96875,705.0,2.447917,37.9,-122.26,3.573
7.9556,52.0,7.56,0.992727,684.0,2.487273,37.9,-122.27,3.744
5.3989,52.0,7.272059,1.077206,723.0,2.658088,37.89,-122.27,3.356
6.7138,42.0,6.390625,1.026786,1031.0,2.301339,37.89,-122.25,3.686
4.1912,52.0,5.763285,0.966184,506.0,2.444444,37.88,-122.28,2.545
3.1065,48.0,4.978947,1.031579,1034.0,2.176842,37.88,-122.29,2.292
5.2289,41.0,5.569106,1.146341,266.0,2.162602,37.87,-122.25,3.846
0.949,52.0,2.524109,0.964361,2016.0,4.226415,37.87,-122.25,3.5
1.7464,35.0,3.218,1.108,1675.0,1.675,37.87,-122.27,2.167
3.0417,48.0,4.690632,1.126362,1656.0,3.607843,37.86,-122.25,4.896
7.8521,52.0,7.794393,1.051402,517.0,2.415888,37.86,-122.24,5.00001
1.3785,47.0,4.310345,0.962382,843.0,2.642633,37.85,-122.27,1.423
2.6997,52.0,4.062745,1.062745,1623.0,2.121569,37.83,-122.28,1.269
12.3804,52.0,9.122715,1.033943,1192.0,3.112272,37.82,-122.23,5.00001
5.8948,52.0,7.740088,1.0837,585.0,2.577093,37.83,-122.24,4.578
2.5444,30.0,4.847953,1.016374,3668.0,4.290058,37.79,-122.28,2.75
4.1667,52.0,4.768595,1.038567,872.0,2.402204,37.77,-122.27,2.258
3.4762,52.0,5.305085,1.09322,979.0,2.074153,37.76,-122.24,2.44
2.9861,33.0,4.198858,1.053283,2239.0,2.130352,37.7,-122.09,2.082
3.3478,42.0,5.795082,1.122951,629.0,2.577869,37.69,-122.08,1.849
4.1164,52.0,5.485437,1.009709,994.0,2.412621,37.73,-122.16,1.982
3.8047,45.0,4.911475,1.02623,1003.0,3.288525,37.72,-122.18,1.567
2.1898,28.0,3.86562,1.024433,830.0,1.448517,37.73,-122.15,1.417
3.8393,35.0,5.568878,0.977041,976.0,2.489796,37.72,-122.13,2.435
3.395,17.0,3.7014,1.195956,1216.0,1.891135,37.69,-122.13,2.713
4.4659,38.0,5.219269,1.053156,874.0,2.903654,37.69,-122.14,1.891
3.6625,38.0,5.612613,0.995495,637.0,2.869369,37.69,-122.15,1.846
4.4375,36.0,5.527331,0.974277,836.0,2.688103,37.7,-122.16,1.935
4.3864,35.0,5.415638,0.919753,1349.0,2.77572,37.68,-122.15,2.052
2.679,41.0,4.66,1.049333,1849.0,2.465333,37.7,-122.12,1.449
2.5833,19.0,4.309154,1.096718,1571.0,2.713299,37.7,-122.12,1.599
3.8958,6.0,4.267016,1.029668,1189.0,2.075044,37.63,-122.02,3.011
2.3357,48.0,4.064935,0.99026,673.0,2.185065,37.67,-122.09,1.75
2.8322,41.0,3.927195,0.991435,1105.0,2.366167,37.68,-122.09,1.703
3.0962,38.0,4.4475,1.0325,1061.0,2.6525,37.68,-122.1,1.809
3.8,36.0,5.702703,1.051351,952.0,2.572973,37.67,-122.11,1.875
4.2733,22.0,5.224764,1.09825,1830.0,2.462988,37.67,-122.06,1.807
6.8233,18.0,7.228916,1.009639,1155.0,2.783133,37.67,-122.04,3.326
6.3501,23.0,6.299479,0.90625,1066.0,2.776042,37.66,-122.04,3.5
2.7694,17.0,3.862972,1.107775,3069.0,2.362587,37.65,-122.08,1.619
2.1382,37.0,4.569794,0.997712,1349.0,3.086957,37.66,-122.08,1.666
4.3897,35.0,6.141304,1.043478,543.0,2.951087,37.65,-122.09,1.906
4.6635,28.0,6.417266,1.118705,735.0,2.643885,37.64,-122.1,2.067
4.3456,19.0,4.710383,0.912568,407.0,2.224044,37.66,-122.13,1.63
5.2312,31.0,4.940199,0.930233,854.0,2.837209,37.64,-122.11,1.976
3.9167,34.0,5.851406,0.971888,735.0,2.951807,37.63,-122.09,1.895
2.5158,22.0,4.006152,1.036227,5436.0,3.715653,37.64,-122.07,1.349
2.9706,36.0,4.184783,1.021739,295.0,3.206522,37.6,-122.09,1.479
5.7192,15.0,6.395349,1.067979,1777.0,3.178891,37.58,-121.96,2.835
5.0,18.0,5.669413,1.035015,2641.0,2.719876,37.56,-121.99,2.697
3.1326,17.0,3.833458,1.026886,3386.0,2.528753,37.54,-121.98,2.208
4.6641,29.0,6.011966,1.102564,1724.0,2.947009,37.54,-121.95,2.489
4.5317,26.0,6.1354,1.016313,1776.0,2.897227,37.52,-121.97,2.326
4.9118,26.0,6.391304,1.101449,1597.0,3.306418,37.55,-122.03,2.173
6.0667,19.0,6.448519,1.004231,2346.0,3.308886,37.53,-122.01,2.457
5.7072,21.0,6.284875,0.988253,2216.0,3.254038,37.53,-122.02,2.422
5.1437,4.0,4.964807,1.046481,2937.0,1.950199,37.72,-121.92,2.994
5.347,22.0,6.751092,1.042213,2302.0,3.350801,37.72,-121.92,2.195
5.0143,15.0,6.673196,1.058763,2484.0,2.560825,37.71,-121.94,2.711
3.9864,12.0,5.255858,0.98313,2595.0,2.432052,37.71,-121.73,2.002
3.0222,17.0,4.576471,1.282353,1392.0,2.047059,37.68,-121.78,1.725
2.45,17.0,8.973684,1.855263,338.0,2.223684,38.69,-119.78,1.176
3.4609,14.0,8.625304,1.708029,946.0,2.301703,38.48,-120.56,1.209
3.2589,18.0,6.372146,1.123288,1187.0,2.710046,38.32,-120.88,1.03
3.175,18.0,5.627297,1.102362,985.0,2.585302,38.4,-120.66,1.185
4.4531,16.0,5.901408,1.084507,559.0,2.624413,38.34,-120.71,1.443
3.5046,18.0,5.634812,1.054608,856.0,2.921502,39.75,-121.86,1.183
2.575,34.0,5.493266,1.016835,1290.0,2.171717,39.74,-121.83,1.303
3.0253,29.0,5.67326,1.007326,3316.0,2.429304,39.75,-121.82,1.114
3.1125,11.0,5.705696,1.071994,3264.0,2.582278,39.75,-121.8,1.226
2.2925,44.0,4.669329,1.052716,1371.0,2.190096,39.73,-121.82,0.858
1.5863,21.0,5.154082,1.07551,2948.0,3.008163,39.7,-121.81,0.813
3.5735,16.0,5.08042,1.045455,904.0,3.160839,39.79,-121.97,0.896
3.5375,38.0,5.840426,1.117021,275.0,2.925532,39.68,-121.84,1.531
2.7143,16.0,6.385301,1.244989,1203.0,2.679287,39.88,-121.75,0.953
3.5189,15.0,5.489011,1.027473,1786.0,2.453297,39.82,-121.68,1.413
2.8657,14.0,5.850575,1.030651,665.0,2.547893,39.86,-121.59,1.196
1.625,20.0,4.422619,1.017857,395.0,2.35119,39.79,-121.59,0.883
2.6823,28.0,5.427184,1.058252,770.0,2.491909,39.78,-121.63,0.934
2.5428,31.0,5.693208,1.199063,1026.0,2.40281,39.76,-121.61,0.85
1.0625,20.0,4.546512,1.011628,523.0,2.027132,39.75,-121.62,0.928
1.5714,31.0,4.639908,1.075688,1073.0,2.461009,39.5,-121.57,0.561
3.2833,33.0,6.329004,1.04329,569.0,2.463203,39.5,-121.52,0.826
2.0455,21.0,5.615385,1.055556,1364.0,2.91453,39.48,-121.52,0.594
2.3566,15.0,5.665775,1.040107,1079.0,2.885027,39.43,-121.52,0.804
3.0208,52.0,5.108108,0.918919,121.0,3.27027,39.39,-121.39,0.6
2.1776,22.0,5.443723,1.04329,1284.0,2.779221,39.39,-121.59,0.738
2.9063,27.0,6.025126,1.125628,463.0,2.326633,38.07,-120.55,0.922
2.6528,9.0,8.010753,1.586022,2233.0,2.401075,37.97,-120.67,1.33
2.9821,19.0,5.278947,1.236842,538.0,2.831579,38.24,-120.79,0.904
3.8488,7.0,6.446637,1.155157,3175.0,2.847534,38.12,-120.76,1.306
2.0417,17.0,5.260638,1.083333,1387.0,2.45922,38.19,-120.67,0.926
2.2604,17.0,6.016,1.432,661.0,2.644,38.35,-120.57,0.848
2.6942,13.0,11.490862,2.164491,924.0,2.412533,38.23,-120.37,1.235
2.331,28.0,5.146914,1.104938,2587.0,3.193827,39.13,-122.09,0.655
2.875,44.0,6.08,1.314286,494.0,2.822857,39.34,-122.05,0.615
5.1017,13.0,7.082857,1.125714,1075.0,3.071429,37.91,-121.6,2.414
2.2361,47.0,4.941476,1.094148,1074.0,2.732824,38.01,-121.81,1.051
2.8466,29.0,4.928571,1.07619,985.0,2.345238,38.0,-121.82,1.134
4.9167,23.0,6.609195,1.0,572.0,3.287356,37.99,-121.83,1.524
4.4853,23.0,7.060932,1.060932,935.0,3.351254,37.99,-121.83,1.459
5.7321,18.0,6.814953,0.998131,1651.0,3.085981,37.99,-121.79,1.647
5.3098,22.0,5.589147,0.906977,367.0,2.844961,38.0,-121.88,1.519
4.5,50.0,5.56962,1.079114,741.0,2.344937,38.01,-122.14,1.783
2.1974,51.0,4.234899,1.036913,608.0,2.040268,38.01,-122.13,1.393
3.8824,37.0,5.049275,0.982609,1128.0,3.269565,38.02,-122.09,1.137
5.2015,6.0,5.696478,1.051984,4377.0,2.446618,38.0,-122.09,2.042
6.6579,9.0,5.659529,0.940043,1105.0,2.366167,37.97,-122.08,2.452
5.0445,37.0,6.273196,1.025773,552.0,2.845361,37.96,-122.07,1.962
3.5057,36.0,5.544118,1.02521,1111.0,2.334034,37.94,-122.07,2.051
6.0265,32.0,6.406699,1.0,601.0,2.875598,37.95,-122.09,2.479
6.1922,29.0,6.746575,1.0,2634.0,2.577299,37.94,-122.09,2.732
2.3462,16.0,4.676724,0.935345,356.0,1.534483,38.0,-122.05,0.75
4.45,37.0,5.65995,1.047859,1237.0,3.115869,37.99,-122.02,1.619
5.1118,32.0,5.855491,0.976879,436.0,2.520231,37.98,-122.0,2.269
4.525,36.0,4.590909,0.875,237.0,2.693182,37.98,-122.0,1.613
6.1168,27.0,5.712838,0.976351,807.0,2.726351,37.97,-121.97,2.105
5.0092,24.0,6.487805,0.892683,656.0,3.2,37.97,-121.97,2.441
5.1333,22.0,5.955696,1.07384,1271.0,2.681435,37.97,-121.99,2.072
7.6166,16.0,7.210412,1.039046,1470.0,3.18872,37.96,-121.99,2.604
3.25,45.0,4.800595,1.005952,865.0,2.574405,37.97,-122.03,1.511
5.4482,20.0,4.577236,0.869919,246.0,2.0,37.95,-122.05,1.908
4.9485,32.0,6.167192,0.987382,804.0,2.536278,37.95,-122.03,2.023
6.0918,21.0,7.661789,1.014634,1773.0,2.882927,37.93,-122.03,3.448
7.0895,18.0,6.93913,1.054348,3486.0,2.526087,37.91,-122.09,3.069
6.2924,39.0,6.171779,1.02454,1223.0,2.501022,37.89,-122.08,2.839
5.6986,20.0,5.677051,1.084112,2310.0,2.398754,37.9,-122.04,2.758
9.5862,27.0,7.935611,1.024967,2181.0,2.865966,37.85,-122.04,4.694
8.3188,12.0,8.481046,1.016993,2404.0,3.142484,37.81,-121.96,4.034
7.8287,8.0,7.290032,1.065595,4089.0,2.629582,37.8,-121.94,3.692
7.9393,8.0,6.870504,0.932854,1376.0,3.29976,37.74,-121.98,3.993
5.1755,14.0,6.38647,1.060653,3283.0,2.552877,37.77,-121.99,2.948
10.7372,18.0,9.016113,1.081571,3011.0,3.032226,37.86,-122.0,5.00001
2.9167,24.0,4.766719,1.056765,1750.0,1.360809,37.87,-122.08,1.027
2.4896,26.0,4.52919,1.062147,680.0,1.280603,37.87,-122.08,0.734
8.0074,18.0,7.993912,1.04414,1870.0,2.846271,37.85,-122.12,4.541
11.7064,17.0,9.361702,1.12766,1722.0,12.212766,37.84,-122.08,5.00001
2.4444,20.0,6.333333,0.866667,31.0,2.066667,37.88,-122.22,4.75
7.7736,36.0,6.870968,1.032258,398.0,2.567742,37.88,-122.2,3.781
2.9591,2.0,4.482808,1.012894,1606.0,2.30086,37.99,-121.96,2.101
8.3956,18.0,8.332344,1.0,1038.0,3.080119,37.92,-122.01,3.536
5.7001,16.0,6.778195,1.003759,946.0,3.556391,38.02,-122.25,2.051
2.3103,47.0,4.52957,1.08871,835.0,2.244624,38.04,-122.27,1.345
2.694,41.0,5.233333,1.122917,1179.0,2.45625,38.04,-122.26,1.23
4.3173,32.0,5.850949,1.065041,981.0,2.658537,38.03,-122.36,1.754
4.4394,34.0,5.020528,0.929619,956.0,2.803519,38.0,-122.3,1.62
3.2759,18.0,5.340674,1.132124,1895.0,2.454663,38.01,-122.31,1.95
4.4911,20.0,5.906897,1.089655,1512.0,2.606897,37.97,-122.29,2.274
2.6167,42.0,4.061008,0.864721,1271.0,3.371353,37.99,-122.34,0.851
1.6023,35.0,6.323529,1.323529,100.0,2.941176,37.95,-122.37,0.813
0.9797,32.0,4.843284,1.354478,716.0,2.671642,37.95,-122.37,0.764
3.375,25.0,4.194175,0.978155,934.0,2.26699,37.96,-122.32,1.337
3.7708,42.0,5.148734,1.063291,848.0,2.683544,37.95,-122.33,1.446
3.5848,47.0,5.502924,1.055556,797.0,2.330409,37.94,-122.33,1.408
3.1571,43.0,4.976127,1.03183,807.0,2.140584,37.94,-122.33,1.416
3.2833,38.0,5.560166,1.236515,766.0,3.178423,37.95,-122.34,1.117
2.7714,38.0,4.201613,1.165323,773.0,3.116935,37.95,-122.36,1.047
2.7391,44.0,4.406897,1.02069,936.0,2.151724,37.94,-122.34,1.403
1.6571,34.0,4.454976,1.087678,1358.0,3.218009,37.94,-122.35,1.052
1.5139,38.0,3.727273,0.867133,729.0,2.548951,37.95,-122.36,0.817
1.822,41.0,5.608225,1.266234,1638.0,3.545455,37.94,-122.36,0.797
3.05,17.0,5.49345,1.10917,885.0,3.864629,37.93,-122.36,1.216
6.516,32.0,7.515152,1.012987,602.0,2.606061,37.92,-122.29,4.01
3.3594,22.0,5.623116,1.105528,565.0,2.839196,37.92,-122.32,1.869
3.4091,41.0,4.946988,1.048193,873.0,2.103614,37.9,-122.3,2.23
6.3538,49.0,6.293886,1.017751,1148.0,2.2643,37.9,-122.28,3.337
7.3089,48.0,7.283217,1.041958,685.0,2.395105,37.91,-122.28,3.312
1.6654,15.0,4.90625,1.115625,1645.0,2.570312,41.78,-124.19,0.746
4.6,24.0,13.104167,2.25,235.0,2.447917,38.92,-119.94,1.368
3.1625,24.0,6.572973,1.562162,421.0,2.275676,38.94,-119.99,1.036
2.3281,28.0,5.881773,1.339901,494.0,2.433498,38.93,-119.98,0.858
3.15,27.0,6.721805,1.518797,1010.0,2.531328,38.92,-119.98,0.869
2.996,22.0,7.247059,1.435294,1045.0,2.458824,38.93,-120.01,1.261
2.2056,22.0,6.478788,1.493939,829.0,2.512121,38.91,-120.02,1.072
3.0089,24.0,5.939502,1.501779,589.0,2.096085,38.89,-120.01,1.008
1.9727,21.0,5.366883,1.36039,737.0,2.392857,38.9,-120.0,1.141
2.875,22.0,16.883562,3.691781,381.0,2.609589,39.06,-120.13,0.875
4.975,16.0,56.269231,10.153846,54.0,2.076923,39.01,-120.16,2.063
1.875,33.0,141.909091,25.636364,30.0,2.727273,38.91,-120.1,5.00001
3.2027,11.0,5.276074,1.058282,850.0,2.607362,38.86,-120.92,1.286
3.2964,5.0,5.344444,1.01,2242.0,2.491111,38.68,-120.98,1.769
3.9036,11.0,6.155263,1.147368,1062.0,2.794737,38.66,-120.96,1.808
4.1843,12.0,6.330084,1.041783,2033.0,2.831476,38.62,-120.91,2.076
2.6392,21.0,6.221631,1.074468,1576.0,2.794326,38.76,-120.76,1.485
3.0217,22.0,4.983871,1.100806,615.0,2.479839,38.76,-120.6,1.069
3.0789,14.0,6.845865,1.18797,769.0,2.890977,38.68,-120.63,1.317
1.7829,45.0,4.7,1.047826,821.0,3.569565,36.73,-119.77,0.526
1.2375,35.0,4.459916,1.067511,2050.0,4.324895,36.75,-119.78,0.5
2.4137,21.0,5.386076,1.132911,1347.0,4.262658,36.73,-119.83,0.621
1.3343,22.0,3.685585,0.975028,4179.0,4.743473,36.72,-119.75,0.608
3.4107,33.0,5.954023,1.04023,620.0,3.563218,36.64,-119.63,1.104
1.6607,6.0,4.664251,1.019324,1344.0,3.246377,36.62,-119.65,0.58
3.5781,35.0,6.246246,1.096096,1026.0,3.081081,36.62,-119.73,0.928
3.5375,35.0,6.543956,1.043956,537.0,2.950549,36.74,-119.85,0.967
1.7298,52.0,4.277512,1.074163,1156.0,2.76555,36.75,-119.8,0.584
1.5273,46.0,4.764065,1.076225,1368.0,2.482759,36.75,-119.8,0.59
1.869,43.0,5.966912,1.080882,781.0,2.871324,36.76,-119.77,0.56
3.25,17.0,4.829352,0.911263,861.0,2.938567,36.8,-119.71,0.814
2.9406,24.0,5.116009,1.089327,2362.0,2.740139,36.77,-119.73,0.73
2.2467,27.0,4.590703,1.073696,2254.0,2.555556,36.78,-119.74,0.707
2.6852,33.0,5.312849,1.03352,1168.0,3.26257,36.7,-120.0,0.708
6.7181,15.0,7.199438,0.941011,1080.0,3.033708,36.83,-119.85,1.603
4.6726,6.0,5.730303,1.033333,969.0,2.936364,36.81,-119.87,1.078
10.5144,8.0,7.981053,1.025263,1424.0,2.997895,36.85,-119.84,3.459
5.0698,25.0,6.61,1.102,1149.0,2.298,36.81,-119.82,1.509
5.9897,8.0,6.125,0.943548,711.0,2.866935,36.85,-119.77,1.236
3.2147,7.0,5.39824,1.182618,2014.0,2.215622,36.84,-119.78,1.119
3.7656,7.0,6.156938,1.149282,2733.0,2.615311,36.86,-119.8,1.45
2.9471,33.0,6.68,1.024,528.0,2.112,36.8,-119.82,0.995
5.187,45.0,7.149733,1.0,471.0,2.518717,36.79,-119.8,1.538
3.2642,34.0,5.7,0.978723,1141.0,2.42766,36.79,-119.77,0.896
2.1383,30.0,4.997549,1.086601,2768.0,2.261438,36.78,-119.76,0.788
2.3375,17.0,4.770819,1.022712,3056.0,2.103235,36.82,-119.76,0.993
5.308,15.0,6.147668,0.943005,1280.0,3.316062,36.89,-119.67,1.675
1.8061,5.0,3.002762,0.933702,623.0,1.720994,36.83,-119.71,1.134
6.1133,11.0,7.241888,1.014749,1110.0,3.274336,36.83,-119.68,1.2
4.9432,4.0,6.341709,1.085427,622.0,3.125628,36.81,-119.67,1.144
5.0253,13.0,5.951724,0.949425,1356.0,3.117241,36.81,-119.68,1.062
5.6739,14.0,7.896272,1.063209,2085.0,3.379254,36.82,-119.64,1.738
2.3687,31.0,4.815562,1.072046,1371.0,3.951009,36.7,-119.55,0.639
1.9766,42.0,4.586667,0.955556,812.0,3.608889,36.69,-119.58,0.581
2.1515,6.0,5.440367,1.073394,1135.0,5.206422,36.72,-119.55,0.639
3.2917,19.0,6.182657,1.086716,1578.0,2.911439,36.69,-119.47,1.601
3.625,25.0,5.887789,1.029703,904.0,2.983498,36.63,-119.43,1.076
2.4219,19.0,4.979866,0.993289,1296.0,4.348993,36.61,-119.43,0.658
2.309,18.0,5.456422,1.027523,1638.0,3.756881,36.6,-119.55,0.571
2.2206,34.0,5.433962,1.007547,1018.0,3.841509,36.62,-119.5,0.634
1.9913,21.0,5.542105,1.078947,867.0,2.281579,36.58,-119.49,0.953
1.6094,27.0,4.887324,1.042254,1056.0,3.71831,36.66,-119.6,0.552
2.6974,29.0,4.841328,1.03321,788.0,2.907749,36.58,-119.61,0.73
2.5556,42.0,5.300459,1.006881,1347.0,3.08945,36.57,-119.6,0.697
3.2019,19.0,5.301158,0.955598,1670.0,3.223938,36.53,-119.56,0.957
2.1908,32.0,5.811594,1.057971,868.0,3.144928,36.57,-119.67,1.1
2.1153,18.0,4.280899,1.162921,2030.0,5.702247,36.34,-120.08,1.125
3.0658,36.0,4.943548,1.0,310.0,2.5,36.16,-120.37,0.65
1.5536,25.0,4.088785,1.0,931.0,4.350467,36.6,-120.19,0.583
1.7184,11.0,4.006173,1.004115,2104.0,4.329218,36.78,-120.39,0.552
2.3523,34.0,3.697802,0.950549,539.0,2.961538,36.86,-120.45,0.66
2.3295,42.0,5.467492,1.065015,1084.0,3.356037,36.97,-120.55,0.744
1.6948,30.0,5.370801,1.077519,1885.0,2.435401,39.75,-122.18,0.675
3.0469,20.0,5.656,1.008,337.0,2.696,39.74,-122.16,0.85
2.3507,39.0,5.165637,1.00618,2111.0,2.609394,39.74,-122.19,0.656
2.165,34.0,5.30495,1.055446,1287.0,2.548515,39.53,-122.19,0.587
2.0625,39.0,5.837529,1.102975,1181.0,2.702517,39.52,-122.2,0.634
1.7308,52.0,4.231173,1.082312,1150.0,2.014011,40.8,-124.16,0.805
2.2566,52.0,4.995349,0.97907,975.0,2.267442,40.79,-124.16,0.927
2.5536,37.0,4.687097,0.945161,867.0,2.796774,40.78,-124.18,0.702
1.755,47.0,4.516717,1.018237,765.0,2.325228,40.8,-124.15,0.741
1.6111,52.0,4.804878,1.064302,908.0,2.013304,40.8,-124.16,0.747
2.2478,31.0,5.12381,1.1,1259.0,2.997619,40.8,-124.13,0.811
1.1157,18.0,2.563745,0.964143,805.0,1.603586,40.86,-124.08,1.5
2.2188,50.0,4.925134,1.0,420.0,2.245989,40.88,-124.09,1.058
2.5667,12.0,4.76484,0.968037,1603.0,3.659817,40.88,-124.06,1.395
3.0469,25.0,6.386667,1.149333,983.0,2.621333,40.66,-123.74,1.36
3.2891,28.0,5.781818,1.177273,519.0,2.359091,40.93,-123.88,1.063
2.1726,23.0,4.287179,0.987179,1060.0,2.717949,41.02,-124.16,0.755
3.9659,33.0,5.322314,1.066116,334.0,2.760331,40.73,-124.1,1.118
2.8446,18.0,5.131213,0.992048,1375.0,2.733598,40.72,-124.14,1.005
1.6528,32.0,4.544776,1.235075,620.0,2.313433,40.75,-124.21,0.581
2.5179,36.0,5.051613,1.135484,1194.0,2.567742,40.69,-124.27,0.79
2.178,17.0,5.111301,1.044521,1544.0,2.643836,40.59,-124.14,0.768
2.6987,25.0,5.349296,1.005634,891.0,2.509859,40.58,-124.14,0.925
3.0806,52.0,6.193103,1.041379,1152.0,2.648276,40.54,-124.23,1.067
2.625,17.0,8.092025,1.638037,393.0,2.411043,40.06,-124.08,1.356
2.0962,28.0,6.413242,1.381279,1093.0,2.495434,40.28,-123.84,0.74
1.725,31.0,5.158774,1.259053,917.0,2.554318,40.24,-123.68,0.543
2.1864,17.0,5.818444,1.429395,899.0,2.590778,40.05,-123.78,1.019
1.6552,32.0,4.865854,1.27561,1069.0,2.607317,33.24,-115.51,0.433
1.9464,27.0,3.971129,1.036745,1121.0,2.942257,32.98,-115.54,0.606
1.975,24.0,4.032419,0.912718,1416.0,3.531172,32.97,-115.52,0.664
3.6528,34.0,6.640449,1.561798,327.0,3.674157,32.82,-115.32,1.0
3.3182,19.0,6.283237,0.988439,649.0,3.751445,32.86,-115.4,1.138
3.5735,30.0,4.78209,0.961194,1130.0,3.373134,32.82,-115.37,0.711
4.1293,3.0,5.221154,1.016026,1005.0,3.221154,32.87,-115.6,0.832
2.0938,16.0,6.444444,1.833333,123.0,2.277778,32.75,-115.72,0.875
1.1707,20.0,3.092568,1.088657,2283.0,2.976532,32.79,-115.56,0.625
2.8025,5.0,4.947761,1.130597,1767.0,3.296642,32.78,-115.55,0.843
4.0375,29.0,6.447222,1.019444,1173.0,3.258333,32.78,-115.57,0.864
6.2715,20.0,6.90991,1.058559,871.0,3.923423,32.78,-115.57,0.972
4.4821,15.0,6.908108,1.172973,653.0,3.52973,32.76,-115.56,1.403
2.5769,30.0,6.317568,1.195946,649.0,4.385135,32.69,-115.59,0.944
2.7,5.0,8.857143,2.047619,41.0,1.952381,33.38,-115.94,0.588
0.922,15.0,6.287671,1.30137,160.0,2.191781,33.36,-115.91,0.675
1.8958,12.0,5.823529,1.470588,37.0,2.176471,33.28,-115.95,0.538
1.2132,23.0,8.714286,2.461538,338.0,1.857143,33.35,-115.73,0.3
2.75,22.0,5.471698,1.058176,1541.0,2.422956,37.17,-118.3,0.945
4.3162,14.0,6.04811,1.037801,1748.0,3.003436,35.45,-119.03,0.871
